all,n,K,n_all_agree,all_agree,all_agree_lo,all_agree_hi,majority,mean_frac_callers,detected,detected_discord,singleton,jaccard,fleiss_kappa,rate_MUTECT,rate_MUSE,rate_VARSCANS,rate_SOMATICSNIPER,rate_RADIA,vtype,grouping,filter,centers,vaf_bin,lc,rate_INDELOCATOR,rate_VARSCANI,rate_PINDEL
all,172470,3,103201,0.5983707311416478,0.5960549601879287,0.6006821201310105,0.9959587174581087,0.8647764828665855,172470,0.40162926885835215,0.004041282541891344,0.7320256482714064,-0.14484845284449288,,,,,,indel,all,all,starred_counted,,,0.9133472487968922,0.9181480837247058,0.7628341160781585
,11537,3,2479,0.21487388402530988,0.2074745830252161,0.22246299791506668,0.9852648002080263,0.733379561411112,11537,0.7851261159746902,0.01473519979197365,0.47333046678917157,-0.33843081853366624,,,,,,indel,vaf_bin,all,starred_counted,5-10%,,0.8518679032677472,0.4664124122388836,0.8818583687267054
,41819,3,26216,0.6268920825462111,0.6222453571607497,0.6315154976690135,0.9927305770104498,0.8732075531855537,41819,0.37310791745378896,0.007269422989550204,0.7506073531134941,-0.12331703184504333,,,,,,indel,vaf_bin,all,starred_counted,10-20%,,0.8345967144121094,0.8824936033860207,0.9025323417585308
,119114,3,74506,0.6255016202965227,0.622749050156301,0.6282460957751824,0.9981278439142334,0.8745431547369188,119114,0.3744983797034773,0.0018721560857665766,0.7502807927057543,-0.13776633895437235,,,,,,indel,vaf_bin,all,starred_counted,>=20%,,0.9469499806907669,0.9744194637070369,0.7022600198129523
,119610,3,85901,0.718175737814564,0.7156191807998213,0.7207182811816841,0.9958364685226988,0.9046707354457543,119610,0.281824262185436,0.004163531477301229,0.8118560274681424,-0.08928203121327168,,,,,,indel,lc,all,starred_counted,,False,0.9081765738650615,0.8962962962962963,0.909539336175905
,52860,3,17300,0.32727960650775634,0.3232922713585404,0.3312920438160582,0.9962353386303443,0.7745049817127002,52860,0.6727203934922437,0.0037646613696556944,0.5513771591036223,-0.28396200269977284,,,,,,indel,lc,all,starred_counted,,True,0.9250472947408248,0.9675936435868332,0.4308740068104427
,10133,3,2156,0.21277015691305634,0.20491111385544727,0.22084689729162585,0.9868745682423764,0.7332149083851442,10133,0.7872298430869437,0.013125431757623606,0.4721758254452908,-0.34149003514475995,,,,,,indel,vaf_bin+lc,all,starred_counted,5-10%,False,0.860850685877825,0.43511299713806373,0.903681042139544
,1404,3,323,0.23005698005698005,0.20879663317450337,0.25279046866084565,0.9736467236467237,0.7345679012345679,1404,0.76994301994302,0.026353276353276354,0.4824827312635165,-0.31629109604485844,,,,,,indel,vaf_bin+lc,all,starred_counted,5-10%,True,0.7870370370370371,0.6923076923076923,0.7243589743589743
,33836,3,22489,0.66464712140915,0.6595982510195921,0.6696586107053237,0.9937935926232415,0.8861469046774638,33836,0.33535287859085,0.006206407376758482,0.7758587165470807,-0.10797565194337781,,,,,,indel,vaf_bin+lc,all,starred_counted,10-20%,False,0.8397564723962644,0.8714978129802577,0.9471864286558694
,7983,3,3727,0.4668670925717149,0.4559415656078863,0.47782449163420776,0.9882249780784166,0.8183640235500439,7983,0.5331329074282851,0.011775021921583365,0.6436461896538384,-0.19554474102302966,,,,,,indel,vaf_bin+lc,all,starred_counted,10-20%,True,0.8127270449705625,0.9290993360891895,0.7132656895903795
,75641,3,61256,0.8098253592628336,0.8070129807608075,0.8126062701502474,0.9979508467629989,0.9359254020086109,75641,0.19017464073716636,0.0020491532370010973,0.8731596844648704,-0.05707116217158821,,,,,,indel,vaf_bin+lc,all,starred_counted,>=20%,False,0.9451223542787641,0.9691701590407319,0.8934836927063365
,43473,3,13250,0.3047868792123847,0.30047719961055014,0.3091310554859921,0.9984358107330987,0.7677408966484944,43473,0.6952131207876153,0.001564189266901295,0.5364683398689829,-0.299598748918805,,,,,,indel,vaf_bin+lc,all,starred_counted,>=20%,True,0.9501299657258528,0.9835530099141996,0.369539714305431
all,2756783,5,1798907,0.6525384841679596,0.6519761853794623,0.6531003578453842,0.8873966503711028,0.8702663938365841,2756783,0.34746151583204044,1.8137082244050402e-06,0.8152554126254439,0.2174484703460233,0.9708754733325039,0.9632060267347847,0.8743803919278377,0.7024568128866145,0.84041326430118,snv,all,PASS,strict,,,,,
,28396,5,0,0.0,0.0,0.0001352633896306843,0.0,0.4,28396,1.0,0.0,0.1111111111111111,-0.2499999999999999,0.9988730807155938,1.0,0.0,0.0,0.0011269192844062545,snv,vaf_bin,PASS,strict,<5%,,,,
,195608,5,4,2.0449061388082287e-05,7.952268448199648e-06,5.258322230933169e-05,0.41644002290294874,0.5033945441904216,195608,0.9999795509386119,5.112265347020572e-06,0.23070301026564902,-0.15982810981719867,0.9658602920125966,0.8961596662713182,0.49127336305263586,0.000143143429716576,0.16353625618584108,snv,vaf_bin,PASS,strict,5-10%,,,,
