vaf_bin,factor,n_hi,disc_hi,n_lo,disc_lo,diff,diff_lo,diff_hi,p,p_holm,direction_supports,sig_supports,purity,denom,callerset
5-10%,vtype,347,0.41210374639769454,4901,0.3629871454805142,0.04911660091718034,-0.0032230001372040365,0.10326421603105895,0.07547044903416614,0.07547044903416614,True,False,0.75,truth,shared4
10-20%,vtype,478,0.2510460251046025,8054,0.12639682145517755,0.12464920364942494,0.08712221812641557,0.16601204461966246,1.1749554011279167e-14,3.52486620338375e-14,True,True,0.75,truth,shared4
>=20%,vtype,604,0.27483443708609273,23650,0.07340380549682875,0.201430631589264,0.1671665703333862,0.23851537154401448,2.7914086078498073e-73,1.1165634431399229e-72,True,True,0.75,truth,shared4
<5%,vtype,1057,0.9990539262062441,9722,1.0,-0.0009460737937558861,-0.005339414255417729,-7.261963070330794e-05,0.09806104462380553,0.19612208924761107,False,False,0.75,union,native
5-10%,vtype,952,0.9128151260504201,7657,0.9998694005485177,-0.08705427449809755,-0.10667453591899449,-0.07074109100030572,1.1936499586978032e-79,3.5809498760934095e-79,False,False,0.75,union,native
10-20%,vtype,1460,0.7780821917808219,23463,0.7631163960277885,0.014965795753033473,-0.00771470032531554,0.036253570636009036,0.20234694216568255,0.20234694216568255,True,False,0.75,union,native
>=20%,vtype,22374,0.7585143470099223,147472,0.49576190734512315,0.2627524396647991,0.2565510352919376,0.26887296885560136,0.0,0.0,True,True,0.75,union,native
<5%,vtype,1057,0.9990539262062441,7502,0.9674753399093575,0.03157858629688659,0.02578230859025133,0.03590867326704934,3.4454854499423494e-13,3.4454854499423494e-13,True,True,0.75,union,shared4
5-10%,vtype,952,0.9128151260504201,7410,0.5458839406207827,0.36693118542963743,0.34428496777779427,0.3867991275527218,1.2858009213583802e-103,2.5716018427167604e-103,True,True,0.75,union,shared4
10-20%,vtype,1460,0.7780821917808219,11141,0.3272596714837088,0.4508225202971131,0.42711157653985965,0.4731375672964085,7.339205167162945e-244,2.2017615501488836e-243,True,True,0.75,union,shared4
>=20%,vtype,22374,0.7585143470099223,113190,0.34289248166799186,0.4156218653419304,0.4093273089111142,0.4218321031987129,0.0,0.0,True,True,0.75,union,shared4
<5%,vtype,925,0.9989189189189189,4489,1.0,-0.00108108108108107,-0.006098110108204491,0.00015323804382013782,0.1708533431843369,0.1708533431843369,False,False,0.75,union_hc,native
5-10%,vtype,760,0.8960526315789473,5687,0.9998241603657464,-0.10377152878679907,-0.12749835589825614,-0.08401174020770302,7.646625265764189e-74,3.0586501063056756e-73,False,False,0.75,union_hc,native
10-20%,vtype,913,0.6801752464403067,17908,0.7156578065668975,-0.03548256012659079,-0.06712470445488769,-0.005295563372638867,0.02280939565790871,0.04561879131581742,False,False,0.75,union_hc,native
>=20%,vtype,1944,0.6003086419753086,42628,0.4659613399643427,0.13434730201096595,0.11188992520655439,0.15641677766700013,5.147414751434876e-31,1.5442244254304627e-30,True,True,0.75,union_hc,native
<5%,vtype,925,0.9989189189189189,4489,0.9585653820449989,0.04035353687392007,0.03294695666669706,0.04664951772927925,1.999930053959974e-14,1.999930053959974e-14,True,True,0.75,union_hc,shared4
5-10%,vtype,760,0.8960526315789473,5687,0.46720590821171093,0.4288467233672364,0.40179960757697214,0.45245254528640605,5.014621786721156e-109,1.0029243573442312e-108,True,True,0.75,union_hc,shared4
10-20%,vtype,913,0.6801752464403067,8694,0.20933977455716588,0.4708354718831408,0.43868706321131173,0.5014612235599808,1.2308512066744907e-211,3.692553620023472e-211,True,True,0.75,union_hc,shared4
>=20%,vtype,1944,0.6003086419753086,24999,0.08932357294291772,0.5109850690323909,0.48874019930484125,0.5328191689150703,0.0,0.0,True,True,0.75,union_hc,shared4
<5%,vtype,389,0.6195372750642674,5145,0.9996112730806609,-0.3800739980163935,-0.4292676721560542,-0.33320769152600016,1.4221288090705387e-180,5.688515236282155e-180,False,False,0.5,truth,native
5-10%,vtype,422,0.38388625592417064,6271,0.8693988199649179,-0.4855125640407472,-0.5313911002213367,-0.43749210785662623,3.9176075334538586e-151,1.1752822600361575e-150,False,False,0.5,truth,native
