vtype,hypothesis,vaf_bin,threshold,n,all_agree,lo,hi,p_one_sided,supported,p_holm,supported_holm,purity,denom,callerset
snv,H2,<5%,0.5,13465,0.15336056442629037,0.14737322757779894,0.15954563188456825,0.0,True,0.0,True,0.1,union,shared4
indel,H1,>=20%,0.8,112,0.0,3.469446951953614e-18,0.033161347066943875,1.0,False,1.0,False,0.1,union_hc,native
indel,H2,<5%,0.5,1013,0.0,0.0,0.0037778345752634323,1.1392378155556871e-305,True,3.4177134466670613e-305,True,0.1,union_hc,native
snv,H1,>=20%,0.8,9980,0.009018036072144289,0.007343017236114272,0.011070882822191517,1.0,False,1.0,False,0.1,union_hc,native
snv,H2,<5%,0.5,12871,0.0,0.0,0.00029836940773063267,0.0,True,0.0,True,0.1,union_hc,native
indel,H1,>=20%,0.8,112,0.0,3.469446951953614e-18,0.033161347066943875,1.0,False,1.0,False,0.1,union_hc,shared4
indel,H2,<5%,0.5,1013,0.0,0.0,0.0037778345752634323,1.1392378155556871e-305,True,3.4177134466670613e-305,True,0.1,union_hc,shared4
snv,H1,>=20%,0.8,255,0.35294117647058826,0.29686518804921946,0.41338215663154765,1.0,False,1.0,False,0.1,union_hc,shared4
snv,H2,<5%,0.5,12871,0.15764120891927588,0.15144803902764642,0.16403867759035762,0.0,True,0.0,True,0.1,union_hc,shared4
indel,H1,>=20%,0.8,0,,,,,False,,False,0.05,truth,native
indel,H2,<5%,0.5,1625,0.00676923076923077,0.003784020630763635,0.012080911269609123,0.0,True,0.0,True,0.05,truth,native
snv,H1,>=20%,0.8,0,,,,,False,,False,0.05,truth,native
snv,H2,<5%,0.5,39291,0.0023415031432134584,0.0019098043061098915,0.0028705040460066038,0.0,True,0.0,True,0.05,truth,native
indel,H1,>=20%,0.8,0,,,,,False,,False,0.05,truth,shared4
indel,H2,<5%,0.5,1625,0.00676923076923077,0.003784020630763635,0.012080911269609123,0.0,True,0.0,True,0.05,truth,shared4
snv,H1,>=20%,0.8,0,,,,,False,,False,0.05,truth,shared4
snv,H2,<5%,0.5,39291,0.10704741543865007,0.10402867935020936,0.11014298151881675,0.0,True,0.0,True,0.05,truth,shared4
indel,H1,>=20%,0.8,419,0.03579952267303103,0.021813000761870704,0.05822044466961096,1.0,False,1.0,False,0.05,union,native
indel,H2,<5%,0.5,879,0.0,4.336808689942018e-19,0.004351244249251245,2.481040258324024e-265,True,7.443120774972072e-265,True,0.05,union,native
snv,H1,>=20%,0.8,18183,0.019853709508881923,0.01792520917085134,0.021985044649976793,1.0,False,1.0,False,0.05,union,native
snv,H2,<5%,0.5,13368,0.0,2.710505431213761e-20,0.0002872797162996664,0.0,True,0.0,True,0.05,union,native
indel,H1,>=20%,0.8,419,0.03579952267303103,0.021813000761870704,0.05822044466961096,1.0,False,1.0,False,0.05,union,shared4
indel,H2,<5%,0.5,879,0.0,4.336808689942018e-19,0.004351244249251245,2.481040258324024e-265,True,7.443120774972072e-265,True,0.05,union,shared4
snv,H1,>=20%,0.8,2419,0.14923522116577098,0.1355923116192676,0.1639904184756656,1.0,False,1.0,False,0.05,union,shared4
snv,H2,<5%,0.5,13090,0.10313216195569137,0.0980380359796338,0.10845915335354282,0.0,True,0.0,True,0.05,union,shared4
indel,H1,>=20%,0.8,127,0.0,0.0,0.029359645293763368,1.0,False,1.0,False,0.05,union_hc,native
indel,H2,<5%,0.5,779,0.0,0.0,0.0049070712561405,3.1450921726548502e-235,True,9.435276517964551e-235,True,0.05,union_hc,native
snv,H1,>=20%,0.8,10929,0.00018299935950224174,5.018645956594457e-05,0.0006670524074046892,1.0,False,1.0,False,0.05,union_hc,native
snv,H2,<5%,0.5,12519,0.0,0.0,0.00030675616499067974,0.0,True,0.0,True,0.05,union_hc,native
indel,H1,>=20%,0.8,127,0.0,0.0,0.029359645293763368,1.0,False,1.0,False,0.05,union_hc,shared4
indel,H2,<5%,0.5,779,0.0,0.0,0.0049070712561405,3.1450921726548502e-235,True,9.435276517964551e-235,True,0.05,union_hc,shared4
snv,H1,>=20%,0.8,177,0.011299435028248588,0.0031042018316274587,0.04025675572661144,1.0,False,1.0,False,0.05,union_hc,shared4
snv,H2,<5%,0.5,12519,0.10567936736161035,0.10041455597351286,0.11118609931979755,0.0,True,0.0,True,0.05,union_hc,shared4
