vtype,vaf_bin,factor,n_hi,disc_hi,n_lo,disc_lo,diff,diff_lo,diff_hi,p,p_holm,direction_supports,sig_supports,purity,denom,callerset
indel,<5%,lc,452,1.0,473,0.9978858350951374,0.0021141649048626032,-0.006490950105334932,0.011877017006899693,1.0,1.0,True,False,0.75,union_hc,shared4
indel,5-10%,lc,364,0.9917582417582418,396,0.8080808080808081,0.18367743367743372,0.14462605126046416,0.2257038401861564,1.2631641579646044e-19,3.7894924738938135e-19,True,True,0.75,union_hc,shared4
indel,10-20%,lc,367,0.9618528610354223,546,0.4908424908424908,0.4710103701929315,0.4223346119710834,0.5154454772048731,3.911766818342558e-50,1.5647067273370231e-49,True,True,0.75,union_hc,shared4
indel,>=20%,lc,1037,0.866923818707811,907,0.2954796030871003,0.5714442156207107,0.5338138013151552,0.6061105886936613,1.0564613585014868e-144,5.282306792507435e-144,True,True,0.75,union_hc,shared4
snv,<5%,lc,577,0.9896013864818024,3912,0.9539877300613497,0.035613656420452666,0.022048261430513666,0.04461087961030064,9.808714846831854e-05,0.00019617429693663709,True,True,0.75,union_hc,shared4
snv,5-10%,lc,1016,0.8946850393700787,4671,0.37422393491757655,0.5204611044525022,0.4957458001916114,0.5426586821980471,4.86730579204805e-199,2.92038347522883e-198,True,True,0.75,union_hc,shared4
snv,10-20%,lc,1029,0.6890184645286687,7665,0.14494455316373125,0.5440739113649374,0.5140308417945418,0.5726670784982528,0.0,0.0,True,True,0.75,union_hc,shared4
snv,>=20%,lc,1831,0.3478973238667395,23168,0.06888812154696132,0.27900920231977816,0.25727444739669586,0.30135266993477133,0.0,0.0,True,True,0.75,union_hc,shared4
indel,<5%,lc,45,0.8,344,0.5959302325581395,0.20406976744186056,0.05689742229256742,0.30923097593715054,0.0128358182626684,0.0385074547880052,True,True,0.5,truth,native
indel,5-10%,lc,80,0.7125,342,0.30701754385964913,0.4054824561403509,0.2869405799672825,0.5046940921474193,4.5271559378969396e-11,1.8108623751587758e-10,True,True,0.5,truth,native
indel,10-20%,lc,132,0.7575757575757576,352,0.17329545454545456,0.584280303030303,0.4936994812483062,0.6586942120012351,2.1366048362070912e-33,1.495623385344964e-32,True,True,0.5,truth,native
indel,>=20%,lc,126,0.6111111111111112,204,0.1323529411764706,0.4787581699346406,0.3765221439585474,0.5686637566601849,2.8840991352397496e-19,1.4420495676198747e-18,True,True,0.5,truth,native
snv,<5%,lc,265,1.0,4880,0.9995901639344262,0.0004098360655737654,-0.013882196876066032,0.0014931933914502649,1.0,1.0,True,False,0.5,truth,native
snv,5-10%,lc,361,0.8864265927977839,5910,0.8683587140439932,0.018067878753790678,-0.019752283570591077,0.04814473171427927,0.3635778339581286,0.7271556679162572,True,False,0.5,truth,native
snv,10-20%,lc,727,0.4621733149931224,10667,0.29033467704134247,0.17183863795177995,0.13485589668704862,0.20917320902143638,2.2692542501142247e-22,1.361552550068535e-21,True,True,0.5,truth,native
snv,>=20%,lc,1035,0.2251207729468599,15601,0.06550862124222806,0.15961215170463183,0.13488622556280538,0.1863152629909083,1.3790181410380708e-78,1.1032145128304566e-77,True,True,0.5,truth,native
indel,<5%,lc,45,0.8,344,0.5959302325581395,0.20406976744186056,0.05689742229256742,0.30923097593715054,0.0128358182626684,0.0128358182626684,True,True,0.5,truth,shared4
indel,5-10%,lc,80,0.7125,342,0.30701754385964913,0.4054824561403509,0.2869405799672825,0.5046940921474193,4.5271559378969396e-11,1.3581467813690818e-10,True,True,0.5,truth,shared4
indel,10-20%,lc,132,0.7575757575757576,352,0.17329545454545456,0.584280303030303,0.4936994812483062,0.6586942120012351,2.1366048362070912e-33,1.2819629017242547e-32,True,True,0.5,truth,shared4
indel,>=20%,lc,126,0.6111111111111112,204,0.1323529411764706,0.4787581699346406,0.3765221439585474,0.5686637566601849,2.8840991352397496e-19,1.1536396540958999e-18,True,True,0.5,truth,shared4
snv,<5%,lc,265,0.8264150943396227,4880,0.7276639344262295,0.09875115991339323,0.04708554962886302,0.14151963290652786,0.000527019805992899,0.001054039611985798,True,True,0.5,truth,shared4
snv,5-10%,lc,361,0.5512465373961218,5910,0.3077834179357022,0.24346311946041965,0.1905324972507564,0.29528606507384014,1.2409871541169538e-21,6.204935770584769e-21,True,True,0.5,truth,shared4
snv,10-20%,lc,727,0.3493810178817056,10667,0.09974688290990906,0.24963413497179654,0.21535110564766163,0.2854327172047268,1.2230121180467965e-91,9.784096944374372e-91,True,True,0.5,truth,shared4
snv,>=20%,lc,1035,0.2222222222222222,15601,0.05986795718223191,0.1623542650399903,0.1377789086584152,0.18893042279777697,5.91789422831623e-87,4.142525959821361e-86,True,True,0.5,truth,shared4
indel,<5%,lc,342,0.9970760233918129,489,0.9959100204498977,0.0011660029419151563,-0.012607746225887647,0.012131967680388397,1.0,1.0,True,False,0.5,union,native
indel,5-10%,lc,407,0.9926289926289926,496,0.8024193548387096,0.190209637790283,0.15464695988381885,0.22783287217716933,6.305963300979033e-24,2.522385320391613e-23,True,True,0.5,union,native
indel,10-20%,lc,869,0.953970080552359,895,0.4960893854748603,0.4578806950774987,0.42145492055283235,0.49270037133906996,1.3684350698561666e-101,6.842175349280833e-101,True,True,0.5,union,native
