vtype,vaf_bin,factor,n_hi,disc_hi,n_lo,disc_lo,diff,diff_lo,diff_hi,p,p_holm,direction_supports,sig_supports,run,flags,callerset,denom
indel,>=20%,lc,259,0.14671814671814673,595,0.11260504201680673,0.034113104701340005,-0.012981294668595017,0.08754389604057469,0.19979696318778722,0.7991878527511489,True,False,NS_T_1,strict,native,truth_obsvaf
snv,<5%,lc,25,1.0,472,1.0,0.0,-0.13319225093904852,0.008072980505344662,1.0,1.0,False,False,NS_T_1,strict,native,truth_obsvaf
snv,5-10%,lc,182,1.0,3006,1.0,0.0,-0.020670623471592986,0.0012762993909318787,1.0,1.0,False,False,NS_T_1,strict,native,truth_obsvaf
snv,10-20%,lc,344,0.6569767441860465,5744,0.6014972144846796,0.055479529701366825,0.0023159404378210596,0.10531576034662674,0.046867770954453616,0.23433885477226807,True,False,NS_T_1,strict,native,truth_obsvaf
snv,>=20%,lc,1756,0.1776765375854214,26096,0.10392397302268547,0.07375256456273593,0.056176576762512705,0.09268272341249713,1.0054452949162785e-21,8.043562359330228e-21,True,True,NS_T_1,strict,native,truth_obsvaf
indel,<5%,lc,15,0.6666666666666666,91,0.6813186813186813,-0.014652014652014711,-0.2788231736953283,0.19331817690979533,1.0,1.0,False,False,NS_380X,strict,native,truth_obsvaf
indel,5-10%,lc,27,0.4074074074074074,230,0.20434782608695654,0.20305958132045085,0.03115662405345479,0.3942649235470187,0.03199585451502232,0.1599792725751116,True,False,NS_380X,strict,native,truth_obsvaf
indel,10-20%,lc,81,0.4074074074074074,344,0.16279069767441862,0.24461670973298877,0.13547326563846318,0.3590127249504206,2.4041768180414807e-06,1.4425060908248885e-05,True,True,NS_380X,strict,native,truth_obsvaf
indel,>=20%,lc,259,0.4594594594594595,574,0.24738675958188153,0.21207269987757796,0.14192455200552642,0.28154900314117914,1.667707954014484e-09,1.1673955678101388e-08,True,True,NS_380X,strict,native,truth_obsvaf
snv,<5%,lc,46,1.0,1245,1.0,0.0,-0.07707356308558022,0.0030760180113829083,1.0,1.0,False,False,NS_380X,strict,native,truth_obsvaf
snv,5-10%,lc,227,0.9955947136563876,3673,1.0,-0.004405286343612369,-0.024527003093806843,-0.0006305966351744003,0.05820512820512821,0.23282051282051283,False,False,NS_380X,strict,native,truth_obsvaf
snv,10-20%,lc,338,0.7307692307692307,5726,0.6978693677960182,0.03289986297321257,-0.018157676417684496,0.07899422360207045,0.22202009038002063,0.6660602711400618,True,False,NS_380X,strict,native,truth_obsvaf
snv,>=20%,lc,1776,0.41385135135135137,26411,0.32683351633788954,0.08701783501346183,0.06362119328464456,0.11076339326187931,5.917086465891095e-14,4.733669172712876e-13,True,True,NS_380X,strict,native,truth_obsvaf
indel,<5%,lc,14391,0.9995135848794385,3165,0.9921011058451816,0.0074124790342569025,0.004817546097492097,0.011156827585861034,6.61597387849602e-18,1.984792163548806e-17,True,True,IL_T_1,strict,native,union
indel,5-10%,lc,5513,0.992018864502086,1074,0.8268156424581006,0.1652032220439854,0.14357616334598539,0.18907518212859917,2.8138029327494427e-159,1.125521173099777e-158,True,True,IL_T_1,strict,native,union
indel,10-20%,lc,5143,0.9566400933307408,796,0.4949748743718593,0.4616652189588816,0.4264908279618407,0.49668368638916965,0.0,0.0,True,True,IL_T_1,strict,native,union
indel,>=20%,lc,13745,0.7442706438704983,5707,0.37970912913965305,0.3645615147308453,0.34991003428370654,0.37900454041234555,0.0,0.0,True,True,IL_T_1,strict,native,union
snv,<5%,lc,43106,1.0,40464,1.0,0.0,-8.910862788391594e-05,9.492621010198654e-05,1.0,1.0,False,False,IL_T_1,strict,native,union
snv,5-10%,lc,37772,1.0,36893,0.9999186837611471,8.131623885287986e-05,-3.366436689558673e-05,0.00023907379635723647,0.12063208693871288,0.24126417387742577,True,False,IL_T_1,strict,native,union
snv,10-20%,lc,19731,0.9902184379909786,17468,0.7892145637737578,0.20100387421722088,0.19484100659182693,0.2072483866584984,0.0,0.0,True,True,IL_T_1,strict,native,union
snv,>=20%,lc,26662,0.8112294651564024,129420,0.3584144645340751,0.45281500062232727,0.4473989886209624,0.45814856272890503,0.0,0.0,True,True,IL_T_1,strict,native,union
indel,<5%,lc,18872,0.9995231030097499,3164,0.9864096080910241,0.013113494918725821,0.009602166671762688,0.017783634164140794,9.516373718426019e-44,2.854912115527806e-43,True,True,NV_T_1,strict,native,union
indel,5-10%,lc,8143,0.9910352449957018,1304,0.8328220858895705,0.15821315910613132,0.1388088058537265,0.17951551623040407,8.352596056155227e-206,3.341038422462091e-205,True,True,NV_T_1,strict,native,union
indel,10-20%,lc,5760,0.9427083333333334,730,0.4465753424657534,0.49613299086757995,0.45933991405423835,0.5322771939428679,0.0,0.0,True,True,NV_T_1,strict,native,union
indel,>=20%,lc,13668,0.6391571553994733,5624,0.33908250355618774,0.3000746518432855,0.28520363860366144,0.31471889197672487,0.0,0.0,True,True,NV_T_1,strict,native,union
snv,<5%,lc,49641,1.0,48624,1.0,0.0,-7.737881132885427e-05,7.899710753045408e-05,1.0,1.0,False,False,NV_T_1,strict,native,union
snv,5-10%,lc,57818,1.0,30690,0.9999674160964483,3.258390355165286e-05,-3.9066047331808444e-05,0.0001845618270711613,0.34674831653635824,0.6934966330727165,True,False,NV_T_1,strict,native,union
snv,10-20%,lc,28351,0.9937215618496702,16707,0.7833243550607529,0.21039720678891727,0.2041371012475033,0.21676663953402822,0.0,0.0,True,True,NV_T_1,strict,native,union
snv,>=20%,lc,31073,0.8150484343320568,152604,0.42409111163534374,0.390957322696713,0.38594429039541006,0.3959009129259433,0.0,0.0,True,True,NV_T_1,strict,native,union
indel,<5%,lc,10147,1.0,1075,0.9953488372093023,0.0046511627906976605,0.001961529288858909,0.01084164265995613,7.998940317856993e-06,2.3996820953570978e-05,True,True,FD_T_1,strict,native,union
indel,5-10%,lc,4584,0.9965095986038395,844,0.8767772511848341,0.1197323474190054,0.09913398203645732,0.1436676945126359,1.3527652374323817e-103,5.411060949729527e-103,True,True,FD_T_1,strict,native,union
indel,10-20%,lc,5238,0.9713631156930126,808,0.5767326732673267,0.3946304424256859,0.36065367489735567,0.42923573675393034,0.0,0.0,True,True,FD_T_1,strict,native,union
indel,>=20%,lc,17656,0.7730516538287268,5453,0.4146341463414634,0.35841750748726336,0.34387979234827776,0.37279579818204117,0.0,0.0,True,True,FD_T_1,strict,native,union
snv,<5%,lc,25897,1.0,15082,1.0,0.0,-0.00014831405484660998,0.00025464001005048864,1.0,1.0,False,False,FD_T_1,strict,native,union
snv,5-10%,lc,19515,1.0,17806,0.9999438391553409,5.616084465909221e-05,-0.00014600756811529453,0.00031807666398175893,0.47710404330001877,0.9542080866000375,True,False,FD_T_1,strict,native,union
snv,10-20%,lc,15636,0.9898311588641596,16323,0.8306071187894383,0.15922404007472135,0.15329935355841312,0.16523514648155105,0.0,0.0,True,True,FD_T_1,strict,native,union
snv,>=20%,lc,25572,0.8369701235726575,110005,0.39415481114494794,0.4428153124277096,0.4374006799228077,0.44814062755233147,0.0,0.0,True,True,FD_T_1,strict,native,union
indel,<5%,lc,14677,0.9997955985555631,1543,0.9935191186001296,0.006276479955433456,0.003293223412952278,0.011686191277642364,1.2912060280115856e-08,3.873618084034757e-08,True,True,NS_T_1,strict,native,union
indel,5-10%,lc,6520,0.9950920245398773,1122,0.8654188948306596,0.12967312970921774,0.11083828779099122,0.1509419219573131,1.3866567516100328e-150,5.546627006440131e-150,True,True,NS_T_1,strict,native,union
indel,10-20%,lc,5825,0.9696137339055794,809,0.5451174289245982,0.4244963049809811,0.39014945324371086,0.45918686441844364,0.0,0.0,True,True,NS_T_1,strict,native,union
indel,>=20%,lc,16479,0.7678257175799502,5505,0.45794732061762033,0.3098783969623299,0.29517359134910964,0.32447561051292145,0.0,0.0,True,True,NS_T_1,strict,native,union
snv,<5%,lc,35349,1.0,24041,1.0,0.0,-0.00010866053935632003,0.00015976228528136183,1.0,1.0,False,False,NS_T_1,strict,native,union
snv,5-10%,lc,29585,0.9999661990873754,29113,0.9999313021674167,3.489691995872679e-05,-0.00013045249163575235,0.00021878826689337159,0.6220024651936202,1.0,True,False,NS_T_1,strict,native,union
snv,10-20%,lc,19978,0.993092401641806,19139,0.8685406761063796,0.12455172553542637,0.11967622402505462,0.12952664044628304,0.0,0.0,True,True,NS_T_1,strict,native,union
snv,>=20%,lc,25794,0.8329068775684267,111733,0.39680309308798656,0.4361037844804402,0.4306789218998806,0.4414409841385949,0.0,0.0,True,True,NS_T_1,strict,native,union
indel,<5%,lc,21027,0.9980025681266943,2511,0.9490242931103147,0.048978275016379635,0.04100960538099064,0.05830228741064683,9.645339776192279e-164,3.8581359104769115e-163,True,True,NS_380X,strict,native,union
indel,5-10%,lc,5539,0.9821267376782813,734,0.6920980926430518,0.2900286450352295,0.25747808430435437,0.3244984524914527,4.7693057216590715e-242,2.3846528608295358e-241,True,True,NS_380X,strict,native,union
indel,10-20%,lc,4297,0.9429834768443099,656,0.45884146341463417,0.4841420134296758,0.44518370100060894,0.5224867937862727,1.8174191762588858e-273,1.0904515057553314e-272,True,True,NS_380X,strict,native,union
indel,>=20%,lc,15577,0.7676702831097131,5873,0.6010556785288609,0.1666146045808522,0.15247418932569856,0.18080998402687495,3.90711808417372e-130,1.172135425252116e-129,True,True,NS_380X,strict,native,union
snv,<5%,lc,78953,1.0,83407,1.0,0.0,-4.865264047682061e-05,4.605467051410628e-05,1.0,1.0,False,False,NS_380X,strict,native,union
snv,5-10%,lc,25932,0.9999614376060466,18951,1.0,-3.856239395338967e-05,-0.00021842003020999812,0.00016657408757335296,1.0,1.0,False,False,NS_380X,strict,native,union
snv,10-20%,lc,17154,0.9935292060160895,13358,0.8567899386135649,0.13673926740252462,0.13075526256538025,0.14288036578126898,0.0,0.0,True,True,NS_380X,strict,native,union
snv,>=20%,lc,36599,0.9075384573348999,163328,0.6624399980407524,0.24509845929414753,0.24131614930664788,0.248817754195898,0.0,0.0,True,True,NS_380X,strict,native,union
indel,<5%,lc,7608,0.9996056782334385,2386,0.990360435875943,0.009245242357495465,0.005947781217212292,0.014036355081313987,5.453861557660059e-12,1.6361584672980177e-11,True,True,IL_T_1,strict,native,union_hc
indel,5-10%,lc,3278,0.9945088468578401,681,0.7591776798825257,0.23533116697531442,0.20456415635258315,0.2689022856938762,1.0717966071503705e-155,5.358983035751852e-155,True,True,IL_T_1,strict,native,union_hc
indel,10-20%,lc,2411,0.9805060141020323,538,0.3847583643122677,0.5957476497897647,0.5534791224861472,0.6361914258131663,1.3792057601386907e-304,8.275234560832145e-304,True,True,IL_T_1,strict,native,union_hc
indel,>=20%,lc,2196,0.8998178506375227,1127,0.5217391304347826,0.37807872020274014,0.34615238036099943,0.4095874185681383,6.361123235626162e-133,2.544449294250465e-132,True,True,IL_T_1,strict,native,union_hc
snv,<5%,lc,4113,1.0,5592,1.0,0.0,-0.0009331082722322526,0.0006864845705446543,1.0,1.0,False,False,IL_T_1,strict,native,union_hc
snv,5-10%,lc,20494,1.0,24254,1.0,0.0,-0.00018740796821992145,0.0001583594660394816,1.0,1.0,False,False,IL_T_1,strict,native,union_hc
snv,10-20%,lc,10456,0.9844108645753634,10996,0.6977082575481993,0.2867026070271641,0.27781289383786606,0.2956302736026783,0.0,0.0,True,True,IL_T_1,strict,native,union_hc
snv,>=20%,lc,9930,0.845619335347432,29093,0.12401608634379405,0.721603249003638,0.7134092318419997,0.7295146800481774,0.0,0.0,True,True,IL_T_1,strict,native,union_hc
indel,<5%,lc,10536,0.9996203492786636,2226,0.9806828391734053,0.01893751010525835,0.013957310997094807,0.0255421626811068,1.495919478785113e-28,4.487758436355339e-28,True,True,NV_T_1,strict,native,union_hc
indel,5-10%,lc,4928,0.9969561688311688,878,0.7779043280182233,0.2190518408129455,0.19272793915680805,0.24774797089381537,1.0523792958878933e-223,5.261896479439466e-223,True,True,NV_T_1,strict,native,union_hc
indel,10-20%,lc,2189,0.9739607126541799,512,0.328125,0.6458357126541799,0.6033414132820811,0.6855334091635407,1.451885113307243e-298,8.711310679843458e-298,True,True,NV_T_1,strict,native,union_hc
indel,>=20%,lc,1509,0.8721007289595759,1038,0.44315992292870904,0.4289408060308669,0.3937345328546838,0.4628596579483063,3.7530598200086346e-118,1.5012239280034538e-117,True,True,NV_T_1,strict,native,union_hc
snv,<5%,lc,6899,1.0,4761,1.0,0.0,-0.0005565039909449787,0.0008062091580366415,1.0,1.0,False,False,NV_T_1,strict,native,union_hc
snv,5-10%,lc,38087,1.0,18140,1.0,0.0,-0.00010084993330627956,0.00021172246403333705,1.0,1.0,False,False,NV_T_1,strict,native,union_hc
snv,10-20%,lc,17286,0.9913224574800417,9242,0.6515905648128111,0.3397318926672306,0.329967431930397,0.34959018645207934,0.0,0.0,True,True,NV_T_1,strict,native,union_hc
snv,>=20%,lc,11228,0.8621303883149269,29258,0.12458131109440153,0.7375490772205254,0.7300020232299362,0.7448328050048575,0.0,0.0,True,True,NV_T_1,strict,native,union_hc
indel,<5%,lc,5108,1.0,691,0.9927641099855282,0.00723589001447178,0.003026954918482847,0.016825727443507854,2.3717837983791847e-05,7.115351395137555e-05,True,True,FD_T_1,strict,native,union_hc
indel,5-10%,lc,2691,0.9959123002601263,517,0.816247582205029,0.17966471805509732,0.14848899579177594,0.21538449227210887,4.553922471990902e-96,1.821568988796361e-95,True,True,FD_T_1,strict,native,union_hc
indel,10-20%,lc,2659,0.9759308010530274,534,0.4419475655430712,0.5339832355099563,0.49109327082024457,0.5758620918604981,3.863595605707812e-275,2.3181573634246873e-274,True,True,FD_T_1,strict,native,union_hc
indel,>=20%,lc,2790,0.9082437275985663,959,0.3461939520333681,0.5620497755651982,0.5293704585116482,0.5931960929132178,1.3589639666881941e-273,6.79481983344097e-273,True,True,FD_T_1,strict,native,union_hc
snv,<5%,lc,1390,1.0,1839,1.0,0.0,-0.0027560227860807807,0.0020845302792095177,1.0,1.0,False,False,FD_T_1,strict,native,union_hc
snv,5-10%,lc,6063,1.0,9128,1.0,0.0,-0.0006331892545353712,0.00042066639439775066,1.0,1.0,False,False,FD_T_1,strict,native,union_hc
snv,10-20%,lc,7031,0.9803726354714835,10403,0.7543016437566087,0.22607099171487477,0.21717005664697078,0.23495469505283434,0.0,0.0,True,True,FD_T_1,strict,native,union_hc
snv,>=20%,lc,9235,0.8347590687601516,28508,0.10863617230251157,0.72612289645764,0.7175827719844259,0.7343663556377542,0.0,0.0,True,True,FD_T_1,strict,native,union_hc
