all,n,K,n_all_agree,all_agree,all_agree_lo,all_agree_hi,majority,mean_frac_callers,detected,detected_discord,singleton,jaccard,fleiss_kappa,rate_MuTect2,rate_SomaticSniper,rate_VarDict,rate_MuSE,rate_Strelka,vtype,grouping,run,flags,callerset,denom,vaf_bin,lc
,13,3,4,0.3076923076923077,0.12680703655710515,0.5763065681945096,0.46153846153846156,0.48717948717948717,9,0.5555555555555556,0.23076923076923078,0.5925925925925926,0.4868421052631582,0.6923076923076923,,0.46153846153846156,,0.3076923076923077,indel,vaf_bin+lc,NV_T_1,strict,native,truth,<5%,True
,255,3,214,0.8392156862745098,0.7891494431288135,0.8792133484742171,0.9450980392156862,0.9163398692810457,246,0.13008130081300814,0.0196078431372549,0.9125388253477759,0.4543509272467907,0.9411764705882353,,0.9490196078431372,,0.8588235294117647,indel,vaf_bin+lc,NV_T_1,strict,native,truth,5-10%,False
,32,3,13,0.40625,0.2551963484266544,0.5773997512461713,0.75,0.6875,29,0.5517241379310345,0.15625,0.6088669950738916,0.2242424242424244,0.8125,,0.6875,,0.5625,indel,vaf_bin+lc,NV_T_1,strict,native,truth,5-10%,True
,342,3,318,0.9298245614035088,0.8977084827645655,0.9523920257242909,0.9853801169590644,0.9688109161793372,339,0.061946902654867256,0.005847953216374269,0.9586612162962574,0.3226232394366176,0.956140350877193,,0.97953216374269,,0.9707602339181286,indel,vaf_bin+lc,NV_T_1,strict,native,truth,10-20%,False
,80,3,42,0.525,0.41695642649729936,0.6307526670259243,0.725,0.725,74,0.43243243243243246,0.2,0.6902531716662402,0.3312434691745034,0.8625,,0.7375,,0.575,indel,vaf_bin+lc,NV_T_1,strict,native,truth,10-20%,True
,556,3,520,0.935251798561151,0.9116634100229126,0.9528670608349368,0.9964028776978417,0.9760191846522782,554,0.061371841155234655,0.0,0.9590854392298436,0.12911547911547253,0.9568345323741008,,0.9748201438848921,,0.9964028776978417,indel,vaf_bin+lc,NV_T_1,strict,native,truth,>=20%,False
,258,3,184,0.7131782945736435,0.6551800620016579,0.7649214776682944,0.8914728682170543,0.8578811369509044,250,0.264,0.07751937984496124,0.8204168918265012,0.30060240963855417,0.8333333333333334,,0.8837209302325582,,0.8565891472868217,indel,vaf_bin+lc,NV_T_1,strict,native,truth,>=20%,True
all,39446,5,29614,0.7507478578309588,0.7464547073407424,0.7549921747880295,0.8949449880849769,0.8637124169751053,36486,0.1883462149865702,0.009658774020179487,0.9046956822196082,0.6337532736348129,0.910003549155808,0.7729807838564113,0.9121583937534857,0.8283729655731886,0.8950463925366323,snv,all,FD_T_1,strict,native,truth,,
,1292,5,2,0.0015479876160990713,0.00042461673364873687,0.005626631871894721,0.1803405572755418,0.15944272445820434,420,0.9952380952380953,0.06501547987616099,0.24773273074268234,0.34567219152854517,0.31346749226006193,0.0015479876160990713,0.23452012383900928,0.030959752321981424,0.21671826625386997,snv,vaf_bin,FD_T_1,strict,native,truth,<5%,
,3853,5,170,0.044121463794445884,0.03807839234768623,0.05107265585895446,0.4897482481183493,0.39065663119647026,2391,0.9289000418235048,0.04152608357124319,0.4176365806691037,0.3647946001183462,0.6005709836491046,0.04749545808460939,0.5746171814170776,0.22398131326239293,0.5066182195691669,snv,vaf_bin,FD_T_1,strict,native,truth,5-10%,
,6271,5,2879,0.45909743262637537,0.44679257298210984,0.47145237338560053,0.8521766863339181,0.7636421623345558,5691,0.49411351256369707,0.01578695582841652,0.7486903595880785,0.40116819716476926,0.8920427364056769,0.4865252750757455,0.8904480944028066,0.7048317652686972,0.8443629405198533,snv,vaf_bin,FD_T_1,strict,native,truth,10-20%,
,28030,5,26563,0.9476632179807349,0.9449941757433205,0.9502095742266532,0.9931501962183374,0.9835890117731003,27984,0.05077901658090337,0.0013556903317873707,0.976553628912046,0.2774907350459738,0.984052800570817,0.9723510524438101,0.9946485907955762,0.9758473064573671,0.9910453085979308,snv,vaf_bin,FD_T_1,strict,native,truth,>=20%,
,37058,5,27953,0.7543040638998327,0.7498947740434633,0.7586606365381173,0.8956230773382265,0.8647687408926548,34260,0.18409223584354933,0.00949862377894112,0.9069555242275804,0.6400306307441801,0.9117869285984133,0.7742727616169248,0.9123536078579524,0.8292406497922176,0.8961897565977657,snv,lc,FD_T_1,strict,native,truth,,False
,2388,5,1661,0.6955611390284757,0.6768027378458114,0.7136913714337024,0.8844221105527639,0.8473199329983249,2226,0.25381850853548965,0.012144053601340033,0.8696720795583573,0.5448849123510545,0.8823283082077052,0.7529313232830821,0.9091289782244556,0.8149078726968174,0.8773031825795645,snv,lc,FD_T_1,strict,native,truth,,True
,1242,5,2,0.001610305958132045,0.00044171510798921617,0.005852391389411185,0.17954911433172302,0.15958132045088566,404,0.995049504950495,0.06521739130434782,0.24878492145797537,0.3468250081351057,0.3148148148148148,0.001610305958132045,0.23429951690821257,0.0322061191626409,0.21497584541062803,snv,vaf_bin+lc,FD_T_1,strict,native,truth,<5%,False
,50,5,0,0.0,6.938893903907228e-18,0.07134759913335872,0.2,0.156,16,1.0,0.06,0.24669312169312171,0.3164418519868755,0.28,0.0,0.24,0.0,0.26,snv,vaf_bin+lc,FD_T_1,strict,native,truth,<5%,True
,3638,5,161,0.044255085211654756,0.03803909206896448,0.05143252895163001,0.4925783397471138,0.3922484881803189,2264,0.928886925795053,0.04150632215503024,0.4183608460889114,0.3642055378962994,0.6025288620120945,0.047553600879604176,0.5761407366684992,0.22484881803188564,0.5101704233095107,snv,vaf_bin+lc,FD_T_1,strict,native,truth,5-10%,False
,215,5,9,0.04186046511627907,0.02217672090826227,0.07762821979353471,0.4418604651162791,0.36372093023255814,127,0.9291338582677166,0.04186046511627907,0.4046772954835415,0.37295284246421717,0.5674418604651162,0.046511627906976744,0.5488372093023256,0.20930232558139536,0.44651162790697674,snv,vaf_bin+lc,FD_T_1,strict,native,truth,5-10%,True
,5910,5,2746,0.46463620981387477,0.45194773429474283,0.47737062790508594,0.8543147208121827,0.7658206429780033,5363,0.48797314935670333,0.015228426395939087,0.7521061561822397,0.4048471388177235,0.8937394247038917,0.4905245346869712,0.8917089678510999,0.7062605752961083,0.8468697123519459,snv,vaf_bin+lc,FD_T_1,strict,native,truth,10-20%,False
,361,5,133,0.3684210526315789,0.3202897175722076,0.4193232082529549,0.817174515235457,0.72797783933518,328,0.5945121951219512,0.024930747922437674,0.6921193756278764,0.34254170192847216,0.8642659279778393,0.42105263157894735,0.8698060941828255,0.6814404432132964,0.8033240997229917,snv,vaf_bin+lc,FD_T_1,strict,native,truth,10-20%,True
,26268,5,25044,0.9534033805390589,0.950787523937998,0.9558866441950661,0.9945941830363941,0.9858154408405664,26229,0.045179000343131645,0.0011420740063956144,0.9794295293852546,0.26765821675476603,0.986904218059997,0.9752931323283082,0.9956220496421502,0.9783005938784833,0.9929572102938937,snv,vaf_bin+lc,FD_T_1,strict,native,truth,>=20%,False
,1762,5,1519,0.862088535754824,0.8451992525639155,0.8774024247419102,0.9716231555051078,0.9503972758229284,1755,0.13447293447293449,0.004540295119182747,0.9331498540892715,0.3029531831229333,0.9415437003405221,0.9284903518728718,0.9801362088535754,0.9392735527809307,0.9625425652667423,snv,vaf_bin+lc,FD_T_1,strict,native,truth,>=20%,True
all,1625,3,1272,0.7827692307692308,0.7620656151655929,0.8021390807692528,0.9046153846153846,0.8722051282051283,1510,0.1576158940397351,0.024615384615384615,0.8938433179174926,0.562003868635513,0.8953846153846153,,0.8953846153846153,,0.8258461538461539,indel,all,FD_T_1,strict,native,truth,,
,102,3,19,0.18627450980392157,0.12262079699482112,0.27270121846962636,0.4803921568627451,0.40196078431372545,55,0.6545454545454545,0.058823529411764705,0.5406495588515566,0.5105957616953215,0.5196078431372549,,0.5,,0.18627450980392157,indel,vaf_bin,FD_T_1,strict,native,truth,<5%,
,287,3,169,0.5888501742160279,0.5311157879843336,0.6442374790732419,0.818815331010453,0.7537746806039488,245,0.31020408163265306,0.03484320557491289,0.7893355689383191,0.5244061982149604,0.818815331010453,,0.8362369337979094,,0.6062717770034843,indel,vaf_bin,FD_T_1,strict,native,truth,5-10%,
,422,3,344,0.8151658767772512,0.7753463124300167,0.849299302716635,0.9123222748815166,0.8941548183254344,403,0.14640198511166252,0.04265402843601896,0.9007719324539601,0.5075813511945579,0.9265402843601895,,0.9075829383886256,,0.8483412322274881,indel,vaf_bin,FD_T_1,strict,native,truth,10-20%,
,814,3,740,0.9090909090909091,0.8873734236694447,0.9269653369998351,0.984029484029484,0.9615069615069616,807,0.08302354399008674,0.007371007371007371,0.9445455049515111,0.2586991192141787,0.9533169533169533,,0.9594594594594594,,0.9717444717444718,indel,vaf_bin,FD_T_1,strict,native,truth,>=20%,
,1242,3,980,0.789049919484702,0.7654864060932765,0.8108309053242246,0.9106280193236715,0.8743961352657005,1147,0.14559721011333915,0.01288244766505636,0.9023738116272675,0.5919039524011891,0.893719806763285,,0.9049919484702094,,0.8244766505636071,indel,lc,FD_T_1,strict,native,truth,,False
,383,3,292,0.762402088772846,0.7173037790451542,0.8022889259683126,0.8851174934725848,0.8651000870322019,363,0.19559228650137742,0.06266318537859007,0.8668537435335854,0.47050691244239684,0.9007832898172323,,0.8642297650130548,,0.8302872062663186,indel,lc,FD_T_1,strict,native,truth,,True
,89,3,17,0.19101123595505617,0.1228195648849351,0.28477268217117596,0.4943820224719101,0.4119850187265917,49,0.6530612244897959,0.056179775280898875,0.5433012093726379,0.5052692530399533,0.5393258426966292,,0.5056179775280899,,0.19101123595505617,indel,vaf_bin+lc,FD_T_1,strict,native,truth,<5%,False
,13,3,2,0.15384615384615385,0.043258178358081184,0.4223463101948254,0.38461538461538464,0.3333333333333333,6,0.6666666666666666,0.07692307692307693,0.5222222222222223,0.5384615384615385,0.38461538461538464,,0.46153846153846156,,0.15384615384615385,indel,vaf_bin+lc,FD_T_1,strict,native,truth,<5%,True
,255,3,151,0.592156862745098,0.530905353896447,0.6506729767702724,0.8313725490196079,0.7607843137254902,219,0.3105022831050228,0.027450980392156862,0.7900333132305217,0.5115768125739397,0.8196078431372549,,0.8509803921568627,,0.611764705882353,indel,vaf_bin+lc,FD_T_1,strict,native,truth,5-10%,False
,32,3,18,0.5625,0.3932559113685198,0.7183466888495963,0.71875,0.6979166666666666,26,0.3076923076923077,0.09375,0.786510590858417,0.604734945959856,0.8125,,0.71875,,0.5625,indel,vaf_bin+lc,FD_T_1,strict,native,truth,5-10%,True
