vaf_bin,factor,n_hi,disc_hi,n_lo,disc_lo,diff,diff_lo,diff_hi,p,p_holm,direction_supports,sig_supports,run,flags,callerset,denom
10-20%,vtype,2949,0.8718209562563581,21452,0.8374510535148237,0.0343699027415344,0.02090500739815182,0.04698531368939822,1.876851373969731e-06,1.876851373969731e-06,True,True,IL_T_1,strict,native,union_hc
>=20%,vtype,3323,0.7715919349984953,39023,0.30763908464239037,0.46395285035610495,0.4486628116332549,0.4786341155706389,0.0,0.0,True,True,IL_T_1,strict,native,union_hc
<5%,vtype,12762,0.9963171916627488,11660,1.0,-0.003682808337251209,-0.004893499195732454,-0.0027131712065287497,9.498984419879286e-14,1.8997968839758571e-13,False,False,NV_T_1,strict,native,union_hc
5-10%,vtype,5806,0.9638305201515673,56227,1.0,-0.03616947984843266,-0.0412870123462048,-0.03166479744418995,2.854875911952718e-218,8.564627735858154e-218,False,False,NV_T_1,strict,native,union_hc
10-20%,vtype,2701,0.8515364679748242,26528,0.8729644149577804,-0.021427946982956247,-0.03588697961428268,-0.007894601342818398,0.0017197911757079465,0.0017197911757079465,False,False,NV_T_1,strict,native,union_hc
>=20%,vtype,2547,0.6972909305064782,40486,0.3291261176703058,0.36816481283617236,0.3494634285010644,0.38628257360518403,1.068887324574e-311,4.275549298296e-311,True,True,NV_T_1,strict,native,union_hc
<5%,vtype,5799,0.9991377823762718,3229,1.0,-0.0008622176237281787,-0.0020169475532300085,0.0004245910647560228,0.16763958437855953,0.16763958437855953,False,False,FD_T_1,strict,native,union_hc
5-10%,vtype,3208,0.9669576059850374,15191,1.0,-0.03304239401496256,-0.03980780378449933,-0.027388319968992762,9.172447496086809e-82,2.7517342488260427e-81,False,False,FD_T_1,strict,native,union_hc
10-20%,vtype,3193,0.886626996554964,17434,0.8454743604451073,0.041152636109856755,0.028526586241778167,0.05301047163277947,2.0891230362106296e-09,4.178246072421259e-09,True,True,FD_T_1,strict,native,union_hc
>=20%,vtype,3749,0.7644705254734596,37743,0.286304745250775,0.47816578022268463,0.4635781228738392,0.4922263357598313,0.0,0.0,True,True,FD_T_1,strict,native,union_hc
<5%,vtype,8695,0.9988499137435307,5511,1.0,-0.0011500862564692849,-0.0021159217057293844,-0.0002776821606540313,0.00865450931818952,0.01730901863637904,False,False,NS_T_1,strict,native,union_hc
5-10%,vtype,4588,0.9688317349607672,29298,1.0,-0.031168265039232756,-0.036601908564675156,-0.02651720728387086,9.514208534611063e-126,2.854262560383319e-125,False,False,NS_T_1,strict,native,union_hc
10-20%,vtype,3465,0.8883116883116883,23395,0.8969010472323146,-0.008589358920626289,-0.0201628418259352,0.0022234142044682444,0.12986302576967484,0.12986302576967484,False,False,NS_T_1,strict,native,union_hc
>=20%,vtype,3515,0.7786628733997155,37875,0.3442376237623762,0.4344252496373393,0.4196021015867089,0.4486635135322069,0.0,0.0,True,True,NS_T_1,strict,native,union_hc
<5%,vtype,10664,0.9875281320330083,31455,1.0,-0.012471867966991734,-0.01476069109969258,-0.0105303159962738,2.4514724063937124e-80,4.902944812787425e-80,False,False,NS_380X,strict,native,union_hc
5-10%,vtype,2687,0.9181243021957574,22013,0.9999545722981874,-0.08183027010243005,-0.09280377815821181,-0.07204836375464622,5.816608106545036e-214,2.3266432426180143e-213,False,False,NS_380X,strict,native,union_hc
10-20%,vtype,1410,0.750354609929078,14068,0.8701307932897355,-0.11977618336065754,-0.14365797518166226,-0.0971670380854158,1.044369612769569e-34,1.044369612769569e-34,False,False,NS_380X,strict,native,union_hc
>=20%,vtype,2384,0.7575503355704698,40544,0.5356649565903709,0.22188537898009886,0.20362064763209917,0.23935446336065272,3.882443822416869e-99,1.1647331467250608e-98,True,True,NS_380X,strict,native,union_hc
<5%,vtype,102,0.7647058823529411,1292,0.7685758513931888,-0.0038699690402477227,-0.09752229070257337,0.07173771990053229,1.0,1.0,False,False,IL_T_1,strict,shared3,truth
5-10%,vtype,287,0.3693379790940767,3853,0.3773682844536725,-0.008030305359595813,-0.0639653881451501,0.051167154718422606,0.835463897005358,1.0,False,False,IL_T_1,strict,shared3,truth
10-20%,vtype,422,0.17298578199052134,6271,0.09217030776590655,0.08081547422461478,0.04690073658927327,0.12041826863859023,9.384535065100797e-08,2.815360519530239e-07,True,True,IL_T_1,strict,shared3,truth
>=20%,vtype,814,0.10442260442260443,28030,0.02786300392436675,0.07655960049823768,0.057273664069430824,0.09953411607783871,6.28817873295696e-36,2.515271493182784e-35,True,True,IL_T_1,strict,shared3,truth
