vaf_bin,lc,n,K,n_all_agree,all_agree,all_agree_lo,all_agree_hi,majority,mean_frac_callers,detected,detected_discord,singleton,jaccard,fleiss_kappa,rate_TNscope,rate_lancet,rate_muTect2,rate_somaticSniper,rate_strelka,vtype,callerset
<5%,True,915,4,34,0.03715846994535519,0.026711153716487263,0.05147584811177211,0.08961748633879782,0.12049180327868853,194,0.8247422680412371,0.06885245901639345,0.423104576524913,0.5453722547318598,0.07103825136612021,0.1453551912568306,0.17814207650273223,,0.08743169398907104,indel,shared4
5-10%,False,1330,4,748,0.562406015037594,0.5356027011489685,0.5888498707082354,0.8037593984962406,0.8052631578947368,1263,0.4077593032462391,0.0443609022556391,0.7669239376994438,0.3287405052110937,0.6293233082706767,0.881203007518797,0.8872180451127819,,0.8233082706766918,indel,shared4
5-10%,True,384,4,61,0.15885416666666666,0.1256971024130093,0.19876913490813491,0.2786458333333333,0.3372395833333333,197,0.6903553299492385,0.11458333333333333,0.5445668956905386,0.5591932094879052,0.2421875,0.375,0.375,,0.3567708333333333,indel,shared4
10-20%,False,1166,4,944,0.8096054888507719,0.7860676260986672,0.8311100218262415,0.9648370497427101,0.9416809605488851,1166,0.19039451114922812,0.007718696397941681,0.8992265166011272,0.09163273688345952,0.8910806174957119,0.9682675814751286,0.9245283018867925,,0.9828473413379074,indel,shared4
10-20%,True,409,4,114,0.2787286063569682,0.2374875007821722,0.32408753938691076,0.4572127139364303,0.5042787286063569,288,0.6041666666666666,0.1271393643031785,0.6223902370997011,0.5346032457746389,0.3863080684596577,0.5672371638141809,0.4767726161369193,,0.58679706601467,indel,shared4
>=20%,False,1158,4,1020,0.8808290155440415,0.8608976621204786,0.89824205810887,0.9930915371329879,0.9684801381692574,1158,0.11917098445595854,0.0,0.9391658379419182,0.0051728665742382185,0.9879101899827288,0.9637305699481865,0.9222797927461139,,1.0,indel,shared4
>=20%,True,590,4,256,0.43389830508474575,0.39446207544273737,0.47418973584221447,0.6661016949152543,0.7042372881355933,537,0.5232774674115456,0.10338983050847457,0.6835021047290112,0.3720641291317694,0.6847457627118644,0.7711864406779662,0.5067796610169492,,0.8542372881355932,indel,shared4
<5%,,4713,4,473,0.10036070443454276,0.09210491501779539,0.10926743703454045,0.1899002758328029,0.2559410142159983,1990,0.7623115577889448,0.11096965839168257,0.47684759558729706,0.5243380438392132,0.13855293868024612,0.32123912582219394,0.3825588796944621,,0.18141311266709104,indel,shared4
5-10%,,1714,4,809,0.4719953325554259,0.4484506845101486,0.4956652293845455,0.6861143523920653,0.7004084014002334,1460,0.4458904109589041,0.060093348891481914,0.7398215752710199,0.5055511463969963,0.5425904317386231,0.7677946324387398,0.7724620770128354,,0.7187864644107351,indel,shared4
10-20%,,1575,4,1058,0.6717460317460318,0.6481618391954678,0.6944944781805003,0.833015873015873,0.8280952380952381,1454,0.2723521320495186,0.03873015873015873,0.849528629435325,0.5283372014673954,0.76,0.8641269841269841,0.8082539682539682,,0.88,indel,shared4
