all,n,K,n_all_agree,all_agree,all_agree_lo,all_agree_hi,majority,mean_frac_callers,detected,detected_discord,singleton,jaccard,fleiss_kappa,rate_MuTect2,rate_SomaticSniper,rate_VarDict,rate_MuSE,rate_Strelka,rate_TNscope,vtype,grouping,denom,callerset,vaf_bin,lc
,26268,4,24880,0.9471600426374296,0.9443886916460684,0.9498006264807974,0.9949748743718593,0.985153037916857,26259,0.05251532807799231,0.0008375209380234506,0.9730752642898562,0.08079707344719439,0.9838967565098219,,0.9769681742043551,,0.992614588091975,0.9871326328612761,snv,vaf_bin+lc,truth,shared4,>=20%,False
,1762,4,1511,0.8575482406356413,0.8404500798815808,0.873090761345175,0.9568671963677639,0.9496311010215664,1756,0.13952164009111617,0.009080590238365494,0.9243957261048724,0.21986014398057188,0.9296254256526674,,0.9585698070374574,,0.9523269012485811,0.9580022701475596,snv,vaf_bin+lc,truth,shared4,>=20%,True
all,1625,4,1070,0.6584615384615384,0.6350548035367907,0.6811208421720727,0.8529230769230769,0.8503076923076923,1568,0.31760204081632654,0.04,0.8224282862872019,0.350939264613536,0.916923076923077,,0.916923076923077,,0.84,0.7273846153846154,indel,all,truth,shared4,,
,102,4,9,0.08823529411764706,0.04711555975757313,0.1592445855395142,0.27450980392156865,0.4019607843137255,73,0.8767123287671232,0.18627450980392157,0.3706458978336344,0.25909636145541787,0.6568627450980392,,0.5784313725490197,,0.24509803921568626,0.12745098039215685,indel,vaf_bin,truth,shared4,<5%,
,287,4,111,0.3867595818815331,0.33226521856319624,0.44424532342224676,0.6898954703832753,0.7134146341463414,264,0.5795454545454546,0.0627177700348432,0.6525470693675602,0.27997298210064164,0.8850174216027874,,0.867595818815331,,0.6515679442508711,0.44947735191637633,indel,vaf_bin,truth,shared4,5-10%,
,422,4,252,0.5971563981042654,0.5496877596812739,0.6428721667925059,0.8744075829383886,0.8518957345971564,418,0.39712918660287083,0.045023696682464455,0.7805069942748829,0.17360778859527115,0.9597156398104265,,0.933649289099526,,0.8601895734597157,0.6540284360189573,indel,vaf_bin,truth,shared4,10-20%,
,814,4,698,0.8574938574938575,0.8317981709266898,0.8798311965050233,0.9717444717444718,0.9539312039312039,813,0.14145141451414514,0.011056511056511056,0.9260279253636275,0.16602418258567667,0.9385749385749386,,0.9680589680589681,,0.9705159705159705,0.9385749385749386,indel,vaf_bin,truth,shared4,>=20%,
,89,4,9,0.10112359550561797,0.054118546891964145,0.1811368993077429,0.25842696629213485,0.38764044943820225,61,0.8524590163934426,0.1797752808988764,0.388974546534173,0.29787705535611386,0.6404494382022472,,0.5393258426966292,,0.2247191011235955,0.14606741573033707,indel,vaf_bin+lc,truth,shared4,<5%,False
,13,4,0,0.0,0.0,0.22809537235419838,0.38461538461538464,0.5,12,1.0,0.23076923076923078,0.2840909090909091,-0.02564102564102566,0.7692307692307693,,0.8461538461538461,,0.38461538461538464,0.0,indel,vaf_bin+lc,truth,shared4,<5%,True
,255,4,99,0.38823529411764707,0.33050030034486855,0.4492876816125144,0.7058823529411765,0.7245098039215686,237,0.5822784810126582,0.054901960784313725,0.6527622753622877,0.25175407759837076,0.8941176470588236,,0.8901960784313725,,0.6627450980392157,0.45098039215686275,indel,vaf_bin+lc,truth,shared4,5-10%,False
,32,4,12,0.375,0.22933887309454212,0.5474559264692255,0.5625,0.625,27,0.5555555555555556,0.125,0.6521491391056607,0.44444444444444453,0.8125,,0.6875,,0.5625,0.4375,indel,vaf_bin+lc,truth,shared4,5-10%,True
,342,4,225,0.6578947368421053,0.6061104312367716,0.7061713882081146,0.9327485380116959,0.8925438596491229,340,0.3382352941176471,0.008771929824561403,0.8186950297419938,0.0777716492002201,0.9649122807017544,,0.9853801169590644,,0.9152046783625731,0.7046783625730995,indel,vaf_bin+lc,truth,shared4,10-20%,False
,80,4,27,0.3375,0.24345612608081602,0.4464347660182303,0.625,0.678125,78,0.6538461538461539,0.2,0.596013980001613,0.21256319627757145,0.9375,,0.7125,,0.625,0.4375,indel,vaf_bin+lc,truth,shared4,10-20%,True
,556,4,509,0.9154676258992805,0.8893976344925495,0.9358359967808522,0.9964028776978417,0.977068345323741,556,0.08453237410071943,0.0035971223021582736,0.9576364179414592,0.05680228833365017,0.9568345323741008,,0.9820143884892086,,1.0,0.9694244604316546,indel,vaf_bin+lc,truth,shared4,>=20%,False
,258,4,189,0.7325581395348837,0.6754255173826342,0.7828670713482226,0.9186046511627907,0.9040697674418605,257,0.26459143968871596,0.027131782945736434,0.8562675421874785,0.1918325809001049,0.8992248062015504,,0.937984496124031,,0.9069767441860465,0.872093023255814,indel,vaf_bin+lc,truth,shared4,>=20%,True
all,338749,6,90324,0.2666399015200045,0.26515343188675783,0.26813166376248704,0.33395522938813105,0.4425764602503131,338749,0.7333600984799955,0.612335386967932,0.5998753257334297,0.4692536337987593,0.331676255870866,0.5021771281981644,0.765168310459957,0.3375567160345861,0.36213833841575915,0.35674201252254617,snv,all,union,native,,
