source,hypothesis,context,bins_tested,bins_sig_support,bins_sig_reversed,verdict,per_bin
D1 SEQC2 ensemble,H3 indel>SNV,strict | native | truth_obsvaf | NV_T_1,4,1,3,mixed (reversed in some bins),"<5%: -0.30 [-0.42,-0.20]; 5-10%: -0.76 [-0.81,-0.70]; 10-20%: -0.33 [-0.36,-0.30]; >=20%: +0.08 [+0.06,+0.10]"
D1 SEQC2 ensemble,H3 indel>SNV,strict | native | union | FD_T_1,4,2,2,mixed (reversed in some bins),"<5%: -0.00 [-0.00,-0.00]; 5-10%: -0.02 [-0.03,-0.02]; 10-20%: +0.01 [+0.00,+0.02]; >=20%: +0.21 [+0.20,+0.22]"
D1 SEQC2 ensemble,H3 indel>SNV,strict | native | union | IL_T_1,4,1,2,mixed (reversed in some bins),"<5%: -0.00 [-0.00,-0.00]; 5-10%: -0.03 [-0.04,-0.03]; 10-20%: -0.00 [-0.01,+0.01]; >=20%: +0.20 [+0.19,+0.21]"
D1 SEQC2 ensemble,H3 indel>SNV,strict | native | union | NS_380X,4,1,3,mixed (reversed in some bins),"<5%: -0.01 [-0.01,-0.01]; 5-10%: -0.05 [-0.06,-0.05]; 10-20%: -0.05 [-0.06,-0.05]; >=20%: +0.01 [+0.01,+0.02]"
D1 SEQC2 ensemble,H3 indel>SNV,strict | native | union | NS_T_1,4,1,3,mixed (reversed in some bins),"<5%: -0.00 [-0.00,-0.00]; 5-10%: -0.02 [-0.03,-0.02]; 10-20%: -0.01 [-0.02,-0.01]; >=20%: +0.21 [+0.20,+0.22]"
D1 SEQC2 ensemble,H3 indel>SNV,strict | native | union | NV_T_1,4,1,3,mixed (reversed in some bins),"<5%: -0.00 [-0.00,-0.00]; 5-10%: -0.03 [-0.03,-0.03]; 10-20%: -0.03 [-0.04,-0.02]; >=20%: +0.06 [+0.05,+0.07]"
D1 SEQC2 ensemble,H3 indel>SNV,strict | native | union_hc | FD_T_1,4,2,1,mixed (reversed in some bins),"<5%: -0.00 [-0.00,+0.00]; 5-10%: -0.03 [-0.04,-0.03]; 10-20%: +0.04 [+0.03,+0.05]; >=20%: +0.48 [+0.46,+0.49]"
D1 SEQC2 ensemble,H3 indel>SNV,strict | native | union_hc | IL_T_1,4,2,2,mixed (reversed in some bins),"<5%: -0.00 [-0.00,-0.00]; 5-10%: -0.05 [-0.05,-0.04]; 10-20%: +0.03 [+0.02,+0.05]; >=20%: +0.46 [+0.45,+0.48]"
D1 SEQC2 ensemble,H3 indel>SNV,strict | native | union_hc | NS_380X,4,1,3,mixed (reversed in some bins),"<5%: -0.01 [-0.01,-0.01]; 5-10%: -0.08 [-0.09,-0.07]; 10-20%: -0.12 [-0.14,-0.10]; >=20%: +0.22 [+0.20,+0.24]"
D1 SEQC2 ensemble,H3 indel>SNV,strict | native | union_hc | NS_T_1,4,1,2,mixed (reversed in some bins),"<5%: -0.00 [-0.00,-0.00]; 5-10%: -0.03 [-0.04,-0.03]; 10-20%: -0.01 [-0.02,+0.00]; >=20%: +0.43 [+0.42,+0.45]"
D1 SEQC2 ensemble,H3 indel>SNV,strict | native | union_hc | NV_T_1,4,1,3,mixed (reversed in some bins),"<5%: -0.00 [-0.00,-0.00]; 5-10%: -0.04 [-0.04,-0.03]; 10-20%: -0.02 [-0.04,-0.01]; >=20%: +0.37 [+0.35,+0.39]"
D1 SEQC2 ensemble,H3 indel>SNV,strict | shared3 | truth | FD_T_1,4,1,1,mixed (reversed in some bins),"<5%: -0.01 [-0.10,+0.06]; 5-10%: -0.11 [-0.16,-0.05]; 10-20%: +0.02 [-0.02,+0.06]; >=20%: +0.07 [+0.05,+0.09]"
D1 SEQC2 ensemble,H3 indel>SNV,strict | shared3 | truth | IL_T_1,4,2,0,partial,"<5%: -0.00 [-0.10,+0.07]; 5-10%: -0.01 [-0.06,+0.05]; 10-20%: +0.08 [+0.05,+0.12]; >=20%: +0.08 [+0.06,+0.10]"
D1 SEQC2 ensemble,H3 indel>SNV,strict | shared3 | truth | NS_380X,4,2,1,mixed (reversed in some bins),"<5%: -0.20 [-0.30,-0.11]; 5-10%: +0.09 [+0.04,+0.14]; 10-20%: +0.13 [+0.09,+0.17]; >=20%: +0.03 [-0.00,+0.06]"
D1 SEQC2 ensemble,H3 indel>SNV,strict | shared3 | truth | NS_T_1,4,2,0,partial,"<5%: -0.04 [-0.13,+0.04]; 5-10%: -0.02 [-0.08,+0.04]; 10-20%: +0.05 [+0.02,+0.09]; >=20%: +0.03 [+0.01,+0.06]"
D1 SEQC2 ensemble,H3 indel>SNV,strict | shared3 | truth | NV_T_1,4,2,1,mixed (reversed in some bins),"<5%: -0.07 [-0.17,+0.02]; 5-10%: -0.09 [-0.14,-0.04]; 10-20%: +0.08 [+0.05,+0.12]; >=20%: +0.11 [+0.09,+0.13]"
D1 SEQC2 ensemble,H3 indel>SNV,strict | shared3 | union | FD_T_1,4,3,0,partial,"<5%: +0.00 [-0.00,+0.00]; 5-10%: +0.04 [+0.03,+0.04]; 10-20%: +0.13 [+0.13,+0.14]; >=20%: +0.31 [+0.31,+0.32]"
D1 SEQC2 ensemble,H3 indel>SNV,strict | shared3 | union | IL_T_1,4,3,1,mixed (reversed in some bins),"<5%: -0.00 [-0.00,-0.00]; 5-10%: +0.01 [+0.01,+0.02]; 10-20%: +0.10 [+0.10,+0.11]; >=20%: +0.34 [+0.33,+0.34]"
D1 SEQC2 ensemble,H3 indel>SNV,strict | shared3 | union | NS_380X,4,3,1,mixed (reversed in some bins),"<5%: -0.01 [-0.01,-0.01]; 5-10%: +0.06 [+0.06,+0.07]; 10-20%: +0.26 [+0.24,+0.27]; >=20%: +0.20 [+0.20,+0.21]"
D1 SEQC2 ensemble,H3 indel>SNV,strict | shared3 | union | NS_T_1,4,3,1,mixed (reversed in some bins),"<5%: -0.00 [-0.00,-0.00]; 5-10%: +0.03 [+0.02,+0.03]; 10-20%: +0.10 [+0.09,+0.10]; >=20%: +0.30 [+0.29,+0.30]"
D1 SEQC2 ensemble,H3 indel>SNV,strict | shared3 | union | NV_T_1,4,3,1,mixed (reversed in some bins),"<5%: -0.00 [-0.00,-0.00]; 5-10%: +0.02 [+0.01,+0.02]; 10-20%: +0.07 [+0.06,+0.08]; >=20%: +0.27 [+0.27,+0.28]"
D1 SEQC2 ensemble,H3 indel>SNV,strict | shared3 | union_hc | FD_T_1,4,4,0,supported (all bins),"<5%: +0.00 [+0.00,+0.00]; 5-10%: +0.08 [+0.07,+0.09]; 10-20%: +0.23 [+0.22,+0.25]; >=20%: +0.53 [+0.52,+0.54]"
D1 SEQC2 ensemble,H3 indel>SNV,strict | shared3 | union_hc | IL_T_1,4,3,0,partial,"<5%: -0.00 [-0.00,+0.00]; 5-10%: +0.01 [+0.01,+0.02]; 10-20%: +0.18 [+0.16,+0.19]; >=20%: +0.52 [+0.51,+0.54]"
D1 SEQC2 ensemble,H3 indel>SNV,strict | shared3 | union_hc | NS_380X,4,3,1,mixed (reversed in some bins),"<5%: -0.01 [-0.01,-0.01]; 5-10%: +0.11 [+0.10,+0.12]; 10-20%: +0.39 [+0.36,+0.41]; >=20%: +0.34 [+0.32,+0.36]"
D1 SEQC2 ensemble,H3 indel>SNV,strict | shared3 | union_hc | NS_T_1,4,3,0,partial,"<5%: -0.00 [-0.00,+0.00]; 5-10%: +0.05 [+0.04,+0.05]; 10-20%: +0.15 [+0.14,+0.16]; >=20%: +0.48 [+0.46,+0.49]"
D1 SEQC2 ensemble,H3 indel>SNV,strict | shared3 | union_hc | NV_T_1,4,3,1,mixed (reversed in some bins),"<5%: -0.00 [-0.00,-0.00]; 5-10%: +0.02 [+0.01,+0.02]; 10-20%: +0.10 [+0.09,+0.12]; >=20%: +0.45 [+0.43,+0.46]"
D1 SEQC2 ensemble,H4 LC>nonLC,lenient | native | truth | indel | FD_T_1,3,1,0,partial,"5-10%: +0.03 [-0.13,+0.21]; 10-20%: +0.29 [+0.18,+0.40]; >=20%: +0.03 [-0.01,+0.07]"
D1 SEQC2 ensemble,H4 LC>nonLC,lenient | native | truth | indel | IL_T_1,3,2,0,partial,"5-10%: +0.11 [-0.06,+0.29]; 10-20%: +0.33 [+0.22,+0.44]; >=20%: +0.12 [+0.08,+0.18]"
D1 SEQC2 ensemble,H4 LC>nonLC,lenient | native | truth | indel | NS_380X,3,2,0,partial,"5-10%: +0.21 [+0.04,+0.38]; 10-20%: +0.26 [+0.14,+0.37]; >=20%: +0.19 [+0.12,+0.26]"
D1 SEQC2 ensemble,H4 LC>nonLC,lenient | native | truth | indel | NS_T_1,3,1,0,partial,"5-10%: +0.15 [-0.03,+0.32]; 10-20%: +0.28 [+0.17,+0.39]; >=20%: +0.01 [-0.04,+0.06]"
