vtype,hypothesis,vaf_bin,threshold,n,all_agree,lo,hi,p_one_sided,supported,p_holm,supported_holm,run,flags,callerset,denom
pooled,H2,<5%,0.5,120301,0.0004322491084862137,0.00032966536656686327,0.0005667362870407957,0.0,True,0.0,True,NV_T_1,strict,native,union
indel,H1,>=20%,0.8,23109,0.31152364879484185,0.3055843820354814,0.31752556679880334,1.0,False,1.0,False,FD_T_1,strict,native,union
indel,H2,<5%,0.5,11222,0.00044555337729459987,0.00019032831200115264,0.0010426713585775023,0.0,True,0.0,True,FD_T_1,strict,native,union
snv,H1,>=20%,0.8,135577,0.5223231079017827,0.5196636753714585,0.5249812754554504,1.0,False,1.0,False,FD_T_1,strict,native,union
snv,H2,<5%,0.5,40979,0.0,0.0,9.373334507696347e-05,0.0,True,0.0,True,FD_T_1,strict,native,union
pooled,H1,>=20%,0.8,158686,0.49162497006667255,0.4891654701973492,0.494084875410377,1.0,False,1.0,False,FD_T_1,strict,native,union
pooled,H2,<5%,0.5,52201,9.578360567805215e-05,4.091370304657387e-05,0.0002242237522910178,0.0,True,0.0,True,FD_T_1,strict,native,union
indel,H1,>=20%,0.8,21984,0.3097707423580786,0.30369202275619656,0.31591593122763206,1.0,False,1.0,False,NS_T_1,strict,native,union
indel,H2,<5%,0.5,16220,0.0008014796547472256,0.00046846718086907707,0.0013708912039152928,0.0,True,0.0,True,NS_T_1,strict,native,union
snv,H1,>=20%,0.8,137527,0.5214030699426294,0.5187623756389467,0.5240425686015978,1.0,False,1.0,False,NS_T_1,strict,native,union
snv,H2,<5%,0.5,59390,0.0,0.0,6.467772964908337e-05,0.0,True,0.0,True,NS_T_1,strict,native,union
pooled,H1,>=20%,0.8,159511,0.4922356451906138,0.48978245014837846,0.4946892141974158,1.0,False,1.0,False,NS_T_1,strict,native,union
pooled,H2,<5%,0.5,75610,0.00017193492924216374,0.00010048676399131279,0.0002941692704722422,0.0,True,0.0,True,NS_T_1,strict,native,union
indel,H1,>=20%,0.8,21450,0.27794871794871795,0.27199372234518776,0.2839832331905114,1.0,False,1.0,False,NS_380X,strict,native,union
indel,H2,<5%,0.5,23538,0.0072223638371994225,0.006218121663400703,0.008387424781304584,0.0,True,0.0,True,NS_380X,strict,native,union
snv,H1,>=20%,0.8,199927,0.2926918325188694,0.2907013861822726,0.2946902452680793,1.0,False,1.0,False,NS_380X,strict,native,union
snv,H2,<5%,0.5,162360,0.0,0.0,2.3659570912951143e-05,0.0,True,0.0,True,NS_380X,strict,native,union
