all,n,K,n_all_agree,all_agree,all_agree_lo,all_agree_hi,majority,mean_frac_callers,detected,detected_discord,singleton,jaccard,fleiss_kappa,rate_TNscope,rate_lancet,rate_muTect2,rate_somaticSniper,rate_strelka,vtype,grouping,purity,denom,callerset,vaf_bin,lc
all,28792,4,6065,0.21064879133092526,0.20597748382276754,0.2153972996220092,0.42963323145318144,0.5619703389830508,28792,0.7893512086690747,0.3924006668519033,0.4492302745336299,0.1380866551614803,0.758335648791331,0.5086482356210058,0.378160600166713,,0.6027368713531537,indel,all,1.0,union,native,,
,1359,4,2,0.0014716703458425313,0.00040367790685183393,0.00535007926713344,0.013245033112582781,0.2744665194996321,1359,0.9985283296541575,0.9168506254598969,0.04176128097424797,-0.2828377445089157,0.01177336276674025,0.16409124356144222,0.9072847682119205,,0.014716703458425313,indel,vaf_bin,1.0,union,native,<5%,
,1113,4,82,0.07367475292003593,0.059749894862847416,0.09053236543032157,0.1752021563342318,0.3834231805929919,1113,0.9263252470799641,0.7151841868823001,0.2537583512510348,-0.018213869174714948,0.23809523809523808,0.3288409703504043,0.7601078167115903,,0.20664869721473494,indel,vaf_bin,1.0,union,native,5-10%,
,1322,4,283,0.2140695915279879,0.19280388645316826,0.2369921913731769,0.31316187594553707,0.48714069591527986,1322,0.7859304084720121,0.5786686838124054,0.41604004364140085,0.17746905097809287,0.6316187594553706,0.4092284417549168,0.5075642965204236,,0.4001512859304085,indel,vaf_bin,1.0,union,native,10-20%,
,24998,4,5698,0.2279382350588047,0.22277994800397988,0.23318012508090918,0.4697575806064485,0.5895071605728458,24998,0.7720617649411953,0.3396671733738699,0.4698129051202389,0.1367493117112173,0.8287863029042324,0.5406432514601168,0.32554604368349466,,0.6630530442435395,indel,vaf_bin,1.0,union,native,>=20%,
,690,4,2,0.002898550724637681,0.0007952473753676534,0.010506266422931555,0.021739130434782608,0.29384057971014493,690,0.9971014492753624,0.8492753623188406,0.060166114997630936,-0.2531387622347671,0.010144927536231883,0.2855072463768116,0.855072463768116,,0.02463768115942029,indel,vaf_bin+lc,1.0,union,native,<5%,False
,669,4,0,0.0,4.336808689942018e-19,0.005709307549845614,0.004484304932735426,0.25448430493273544,669,1.0,0.9865470852017937,0.019097336771755378,-0.321656564318285,0.013452914798206279,0.03886397608370702,0.9611360239162929,,0.004484304932735426,indel,vaf_bin+lc,1.0,union,native,<5%,True
,511,4,80,0.15655577299412915,0.12762517695743658,0.19061154623885096,0.3522504892367906,0.514187866927593,511,0.8434442270058709,0.4520547945205479,0.3875993822755916,0.0905919616829383,0.40313111545988256,0.6046966731898239,0.6731898238747553,,0.37573385518590996,indel,vaf_bin+lc,1.0,union,native,5-10%,False
,602,4,2,0.0033222591362126247,0.000911556580246475,0.012031530602921846,0.024916943521594685,0.2724252491694352,602,0.9966777408637874,0.9385382059800664,0.05316467954656031,-0.27246445409659564,0.09800664451827243,0.0946843853820598,0.8338870431893688,,0.06312292358803986,indel,vaf_bin+lc,1.0,union,native,5-10%,True
,593,4,255,0.4300168634064081,0.39074628781916076,0.4701883058265275,0.6020236087689713,0.6867622259696459,593,0.5699831365935919,0.28499156829679595,0.6445367130065985,0.2938300614066327,0.8026981450252951,0.6964586846543002,0.6323777403035413,,0.6155143338954469,indel,vaf_bin+lc,1.0,union,native,10-20%,False
,729,4,28,0.038408779149519894,0.026705516567143844,0.05495124302311244,0.07818930041152264,0.3247599451303155,729,0.9615912208504801,0.8175582990397805,0.13503626283708473,-0.13586783100035754,0.4924554183813443,0.1755829903978052,0.4060356652949246,,0.22496570644718794,indel,vaf_bin+lc,1.0,union,native,10-20%,True
,6608,4,3243,0.4907687651331719,0.47872424371492595,0.5028240131875075,0.7907082324455206,0.7870006053268765,6608,0.5092312348668281,0.13347457627118645,0.7068952977717945,0.20285517019729127,0.9408292978208233,0.8203692493946732,0.5441888619854721,,0.8426150121065376,indel,vaf_bin+lc,1.0,union,native,>=20%,False
,18390,4,2455,0.13349646547036434,0.12865731679177034,0.13848869889079285,0.35443175638934205,0.5185426862425231,18390,0.8665035345296357,0.4137574768896139,0.3644452471625981,0.054926426724052964,0.78852637302882,0.4401305057096248,0.2469820554649266,,0.598531810766721,indel,vaf_bin+lc,1.0,union,native,>=20%,True
all,144588,4,84593,0.585062384153595,0.5825205035367437,0.5875997449629299,0.8130342767034608,0.8172756383655628,144588,0.414937615846405,0.12899410739480455,0.7663149109084714,0.27301354747143164,0.851294713254212,0.8204484466207431,0.7126732508921902,,0.8846861426951061,snv,all,1.0,union,shared4,,
,8011,4,41,0.005117962801148421,0.003775057952010407,0.006935254817335981,0.21844963175633503,0.4083135688428411,8011,0.9948820371988516,0.5903133191861191,0.1903227845196128,-0.09546333955516689,0.016851828735488704,0.42803644988141304,0.8483335413806017,,0.34003245537386095,snv,vaf_bin,1.0,union,shared4,<5%,
,7262,4,1891,0.26039658496282014,0.250431746742638,0.27061478039080245,0.5373175433764803,0.6126755714679152,7262,0.7396034150371799,0.3470118424676398,0.5183660982539876,0.18020810916337313,0.32497934453318644,0.60327733406775,0.8821261360506747,,0.6403194712200496,snv,vaf_bin,1.0,union,shared4,5-10%,
,9128,4,5778,0.6329973707274321,0.6230556326387888,0.6428272137672588,0.7391542506573181,0.7902881244522348,9128,0.36700262927256794,0.2109991235758107,0.7846419632059815,0.4213303581431026,0.7769500438212095,0.7418930762489044,0.8139789658194566,,0.828330411919369,snv,vaf_bin,1.0,union,shared4,10-20%,
,120187,4,76883,0.639694808922762,0.636976188979269,0.6424044992032386,0.8749365571983658,0.8589468910947108,120187,0.36030519107723796,0.07884380174228493,0.8013397752548458,0.22474281942796945,0.9443617030128051,0.865692628986496,0.6856981204289981,,0.9400351119505438,snv,vaf_bin,1.0,union,shared4,>=20%,
,6976,4,41,0.005877293577981652,0.004335515896916661,0.007962966715781221,0.24440940366972477,0.4257095756880734,6976,0.9941227064220184,0.5474483944954128,0.20372853467980392,-0.08751163939982959,0.007884174311926605,0.4701834862385321,0.8545011467889908,,0.37026949541284404,snv,vaf_bin+lc,1.0,union,shared4,<5%,False
,1035,4,0,0.0,0.0,0.0036978297199025895,0.043478260869565216,0.29106280193236717,1035,1.0,0.8792270531400966,0.07127590006533004,-0.24277746753659898,0.07729468599033816,0.14396135265700483,0.8067632850241546,,0.13623188405797101,snv,vaf_bin+lc,1.0,union,shared4,<5%,True
,5897,4,1834,0.31100559606579614,0.29931708892974984,0.322940174622375,0.6335424792267255,0.6755553671358318,5897,0.6889944039342039,0.2423266067491945,0.5706982266983152,0.1669286293941017,0.37103612006104797,0.7074783788366966,0.9001187044259793,,0.7235882652196032,snv,vaf_bin+lc,1.0,union,shared4,5-10%,False
,1365,4,57,0.041758241758241756,0.03236955419664641,0.05371890992849688,0.12161172161172161,0.34102564102564104,1365,0.9582417582417583,0.7992673992673993,0.1902276231474258,-0.09534536730932405,0.126007326007326,0.15311355311355312,0.8043956043956044,,0.2805860805860806,snv,vaf_bin+lc,1.0,union,shared4,5-10%,True
,7439,4,5488,0.7377335663395618,0.7276170213056804,0.7476047094767501,0.8525339427342384,0.8711184298964915,7439,0.2622664336604382,0.10579378948783438,0.8535124550434374,0.3850662313118311,0.8705471165479232,0.855222476139266,0.8706815432181745,,0.8880225836806023,snv,vaf_bin+lc,1.0,union,shared4,10-20%,False
